#OTU ID	N_1	N_2	N_3
ASV_1	449	15725	5131
ASV_10	0	2100	0
ASV_100	0	104	0
ASV_101	0	30	0
ASV_102	3	23	0
ASV_103	0	27	1
ASV_104	0	29	1
ASV_105	0	24	0
ASV_106	0	17	5
ASV_107	0	48	0
ASV_108	12	1	91
ASV_109	5	11	2
ASV_11	194	972	1476
ASV_110	0	20	0
ASV_111	0	43	1
ASV_112	0	42	0
ASV_113	0	0	49
ASV_114	1	0	34
ASV_115	56	2	232
ASV_116	3	0	167
ASV_117	13	0	225
ASV_118	43	0	0
ASV_119	5	27	41
ASV_12	0	1777	7
ASV_120	0	44	0
ASV_121	0	25	0
ASV_122	1	25	3
ASV_123	0	26	0
ASV_124	0	24	2
ASV_125	0	25	0
ASV_126	0	31	0
ASV_127	89	0	35
ASV_128	0	2	167
ASV_129	9	39	57
ASV_13	0	1614	0
ASV_130	67	0	0
ASV_131	0	21	0
ASV_132	0	61	0
ASV_133	0	18	0
ASV_134	0	38	0
ASV_135	0	24	0
ASV_136	0	35	0
ASV_137	0	26	0
ASV_138	0	0	28
ASV_139	4	0	160
ASV_14	1	0	2097
ASV_140	0	0	79
ASV_141	0	15	0
ASV_142	0	21	1
ASV_143	0	25	0
ASV_144	0	19	0
ASV_145	0	89	0
ASV_146	0	11	0
ASV_147	0	16	0
ASV_148	0	19	0
ASV_149	0	17	0
ASV_15	0	684	1
ASV_150	0	30	0
ASV_151	0	184	0
ASV_152	0	38	5
ASV_153	0	17	0
ASV_154	0	15	0
ASV_155	22	0	50
ASV_156	127	0	0
ASV_157	0	103	0
ASV_158	0	56	0
ASV_159	0	11	0
ASV_16	571	0	1
ASV_160	0	97	0
ASV_161	0	12	0
ASV_162	0	9	0
ASV_163	94	58	1009
ASV_164	3	32	0
ASV_165	0	59	0
ASV_166	0	0	222
ASV_167	3	0	575
ASV_168	1	0	44
ASV_169	8	0	110
ASV_17	1137	0	5
ASV_170	0	0	310
ASV_171	47	0	0
ASV_172	84	0	6
ASV_173	186	3	421
ASV_174	20	0	0
ASV_175	255	0	0
ASV_176	114	5	324
ASV_177	18	0	144
ASV_178	9	0	0
ASV_179	61	0	0
ASV_18	0	536	0
ASV_180	0	13	0
ASV_181	0	18	0
ASV_182	0	31	0
ASV_183	0	13	0
ASV_184	0	14	0
ASV_185	0	90	0
ASV_186	0	25	0
ASV_187	0	17	13
ASV_188	0	21	0
ASV_189	0	15	1
ASV_19	1	638	3
ASV_190	0	10	0
ASV_191	0	46	0
ASV_192	0	13	0
ASV_193	0	0	217
ASV_194	13	0	377
ASV_195	2	2	23
ASV_196	0	0	23
ASV_197	0	0	239
ASV_198	0	2	237
ASV_199	0	11	28
ASV_2	12768	4	2
ASV_20	791	12	0
ASV_200	4	0	201
ASV_201	5	0	63
ASV_202	26	0	1
ASV_203	84	0	0
ASV_204	24	0	0
ASV_205	57	0	4
ASV_206	0	13	0
ASV_207	0	10	0
ASV_208	13	56	150
ASV_209	0	8	0
ASV_21	0	452	0
ASV_210	0	12	0
ASV_211	0	10	0
ASV_212	5	9	0
ASV_213	0	20	0
ASV_214	0	5	0
ASV_215	0	13	5
ASV_216	0	91	0
ASV_217	0	11	0
ASV_218	0	23	0
ASV_219	0	32	0
ASV_22	0	455	1
ASV_220	0	20	0
ASV_221	0	13	0
ASV_222	0	14	0
ASV_223	0	72	0
ASV_224	0	16	0
ASV_225	0	0	21
ASV_226	1	0	134
ASV_227	3	0	100
ASV_228	0	0	181
ASV_229	0	0	27
ASV_23	478	0	0
ASV_230	0	0	26
ASV_231	9	0	0
ASV_232	70	0	35
ASV_233	18	0	38
ASV_234	20	5	2
ASV_235	234	6	5
ASV_236	5	0	0
ASV_237	0	32	0
ASV_238	0	37	0
ASV_239	0	10	0
ASV_24	0	348	0
ASV_240	0	4	0
ASV_241	0	9	0
ASV_242	0	4	0
ASV_243	0	9	0
ASV_244	0	16	0
ASV_245	0	8	0
ASV_246	0	41	0
ASV_247	0	32	0
ASV_248	0	5	0
ASV_249	0	6	0
ASV_25	2	246	2
ASV_250	0	23	0
ASV_251	0	8	0
ASV_252	0	5	0
ASV_253	0	9	2
ASV_254	0	17	0
ASV_255	0	9	4
ASV_256	0	7	0
ASV_257	0	21	0
ASV_258	0	16	0
ASV_259	0	9	0
ASV_26	0	355	0
ASV_260	0	6	0
ASV_261	0	11	0
ASV_262	0	5	0
ASV_263	0	8	0
ASV_264	0	13	0
ASV_265	0	8	0
ASV_266	0	19	0
ASV_267	0	10	0
ASV_268	0	14	0
ASV_269	0	15	0
ASV_27	1	240	11
ASV_270	0	82	0
ASV_271	0	18	0
ASV_272	0	13	0
ASV_273	0	163	0
ASV_274	0	7	2
ASV_275	27	1	381
ASV_276	1	0	16
ASV_277	41	0	110
ASV_278	80	2	224
ASV_279	32	0	362
ASV_28	0	185	0
ASV_280	3	2	278
ASV_29	0	143	1
ASV_3	2	12860	1
ASV_30	2	127	0
ASV_31	0	120	0
ASV_32	0	175	0
ASV_33	0	214	4
ASV_34	0	104	0
ASV_35	0	72	0
ASV_36	0	291	0
ASV_37	0	69	0
ASV_38	0	74	0
ASV_39	0	97	0
ASV_4	534	25	11973
ASV_40	0	97	1
ASV_41	72	0	19
ASV_42	0	66	0
ASV_43	0	75	3
ASV_44	0	64	0
ASV_45	0	47	0
ASV_46	0	141	0
ASV_47	0	107	0
